Province,Regency/City,Sub-District,Geocoder,Location,Latitude,Longitude
Bali,Kabupaten Badung,Buduk,"Buduk, Bali, Indonesia","Buduk, Bali, 000, Indonesia",-8.6062806,115.1576301
Bali,Kabupaten Badung,Kapal,"Kapal, Bali, Indonesia","Kapal, Bali, 0000, Indonesia",-8.5730561,115.1844339
Bali,Kabupaten Badung,Kuwum,"Kuwum, Bali, Indonesia","Kuwum, Bali, Indonesia",-8.4551225,115.1872782
Bali,Kabupaten Badung,Lukluk,"Lukluk, Bali, Indonesia","Lukluk, Bali, 0000, Indonesia",-8.5852645,115.1897619
Bali,Kabupaten Badung,Mengwi,"Mengwi, Bali, Indonesia","Mengwi, Bali, 08351, Indonesia",-8.5466268,115.1664989
Bali,Kabupaten Badung,Mengwitani,"Mengwitani, Bali, Indonesia","Mengwitani, Bali, 0000, Indonesia",-8.5638052,115.1689411
Bali,Kabupaten Badung,Munggu,"Munggu, Bali, Indonesia","Park Munggu, Denpasar, Bali, 80351, Indonesia",-8.61357955,115.13065993254838
Bali,Kabupaten Badung,Pererenan,"Pererenan, Bali, Indonesia","Pererenan, Bali, 80351, Indonesia",-8.6414888,115.1274881
Bali,Kabupaten Badung,Sading,"Sading, Bali, Indonesia","Sading, Bali, 0000, Indonesia",-8.5983942,115.1971151
Bali,Kabupaten Badung,Sempidi,"Sempidi, Bali, Indonesia","Sempidi, Bali, 0000, Indonesia",-8.6045718,115.1846817
Bali,Kabupaten Badung,Tumbak Bayuh,"Tumbak Bayuh, Bali, Indonesia","Tumbak Bayuh, Bali, 000, Indonesia",-8.6202188,115.1425058
Bali,Kabupaten Badung,Carangsari,"Carangsari, Bali, Indonesia","Carangsari, Bali, Indonesia",-8.4462943,115.2206484
Bali,Kabupaten Badung,Petang,"Petang, Bali, Indonesia","Petang, Bali, Indonesia",-8.3959651,115.2186388
Bali,Kabupaten Bangli,Bebalang,"Bebalang, Bali, Indonesia","Bebalang, Bali, 80613, Indonesia",-8.4677846,115.3574999
Bali,Kabupaten Bangli,Bunutin,"Bunutin, Bali, Indonesia","Bunutin, Bali, Indonesia",-8.3003593,115.2629972
Bali,Kabupaten Bangli,Kawan,"Kawan, Bali, Indonesia","Kawan, Bali, 80613, Indonesia",-8.4551669,115.3537106
Bali,Kabupaten Bangli,Kayubihi,"Kayubihi, Bali, Indonesia","Kayubihi, Bali, Indonesia",-8.3750704,115.3702144
Bali,Kabupaten Bangli,Kubu,"Kubu, Bali, Indonesia","Kubu, Bali, 80853, Indonesia",-8.2538999,115.5705893
Bali,Kabupaten Bangli,Pengotan,"Pengotan, Bali, Indonesia","Pengotan, Bali, Indonesia",-8.3265583,115.3631124
Bali,Kabupaten Bangli,Banua,"Banua, Bali, Indonesia","Banua, Bali, Indonesia",-8.3237967,115.2952572
Bali,Kabupaten Bangli,Batur Selatan,"Batur Selatan, Bali, Indonesia","Jalan Batur Sari, Sanur Kauh, Denpasar Selatan, Denpasar, Bali, 80228, Indonesia",-8.6914037,115.2528911
Bali,Kabupaten Bangli,Batur Utara,"Batur Utara, Bali, Indonesia","Batur Utara, Bali, Indonesia",-8.2551503,115.3333524
Bali,Kabupaten Bangli,Belancan,"Belancan, Bali, Indonesia","Belancan, Bali, Indonesia",-8.2808005,115.3075516
Bali,Kabupaten Bangli,Belanga,"Belanga, Bali, Indonesia","Belanga, Bali, Indonesia",-8.251468,115.2683401
Bali,Kabupaten Bangli,Catur,"Catur, Bali, Indonesia","Catur, Bali, Indonesia",-8.226457,115.2495036
Bali,Kabupaten Bangli,Kintamani,"Kintamani, Bali, Indonesia","Kintamani, Bali, Indonesia",-8.2505623,115.3330086
Bali,Kabupaten Bangli,Mengani,"Mengani, Bali, Indonesia","Mengani, Bali, Indonesia",-8.2883417,115.2551278
Bali,Kabupaten Bangli,Satra,"Satra, Bali, Indonesia","Satra, Bali, Indonesia",-8.1771568,115.2761629
Bali,Kabupaten Bangli,Sekaan,"Sekaan, Bali, Indonesia","Sekaan, Bali, Indonesia",-8.3285735,115.3262907
Bali,Kabupaten Bangli,Songan A,"Songan A, Bali, Indonesia","Songan A, Bali, Indonesia",-8.2283607,115.407855
Bali,Kabupaten Bangli,Terunyan,"Terunyan, Bali, Indonesia","Bukit Terunyan, hiking trail, Abang Songan, Bali, Indonesia",-8.2492955,115.4291374
Bali,Kabupaten Bangli,Penglumbaran,"Penglumbaran, Bali, Indonesia","Penglumbaran, Bali, Indonesia",-8.3667952,115.3442862
Bali,Kabupaten Bangli,Sulahan,"Sulahan, Bali, Indonesia","Sulahan, Bali, 80613, Indonesia",-8.4189957,115.3447014
Bali,Kabupaten Bangli,Susut,"Susut, Bali, Indonesia","Susut, Bali, 80572, Indonesia",-8.4115786,115.2370347
Bali,Kabupaten Bangli,Bangbang,"Bangbang, Bali, Indonesia","Bangbang, Bali, 80864, Indonesia",-8.4470738,115.404179
Bali,Kabupaten Bangli,Tembuku,"Tembuku, Bali, Indonesia","Tembuku, Bali, 80613, Indonesia",-8.4538392,115.3891494
Bali,Kabupaten Tabanan,Bangli,"Bangli, Bali, Indonesia","Bangli, Bali, 80613, Indonesia",-8.4603116,115.3535198
Bali,Kabupaten Gianyar,Bedulu,"Bedulu, Bali, Indonesia","Bedulu, Bali, 80581, Indonesia",-8.52695,115.2959285
Bali,Kabupaten Gianyar,Blahbatuh,"Blahbatuh, Bali, Indonesia","Blahbatuh, Bali, 80752, Indonesia",-8.561161,115.2994536
Bali,Kabupaten Gianyar,Bona,"Bona, Bali, Indonesia","Bona, Bali, 80752, Indonesia",-8.5580793,115.3156762
Bali,Kabupaten Gianyar,Buruan,"Buruan, Bali, Indonesia","Buruan, Bali, 80752, Indonesia",-8.5442925,115.3020716
Bali,Kabupaten Gianyar,Beng,"Beng, Bali, Indonesia","Beng, Bali, 80581, Indonesia",-8.5299467,115.3273552
Bali,Kabupaten Gianyar,Bitera,"Bitera, Bali, Indonesia","Bitera, Bali, 80581, Indonesia",-8.5369799,115.3147004
Bali,Kabupaten Gianyar,Gianyar,"Gianyar, Bali, Indonesia","Gianyar, Bali, Indonesia",-8.5482357,115.32605401537212
Bali,Kabupaten Gianyar,Petak,"Petak, Bali, Indonesia","Petak, Bali, 80552, Indonesia",-8.4887856,115.3210309
Bali,Kabupaten Gianyar,Samplangan,"Samplangan, Bali, Indonesia","Samplangan, Bali, 80614, Indonesia",-8.5353488,115.3390449
Bali,Kabupaten Gianyar,Serongga,"Serongga, Bali, Indonesia","Serongga, Bali, 80716, Indonesia",-8.5648323,115.3354767
Bali,Kabupaten Gianyar,Sidan,"Sidan, Bali, Indonesia","Sidan, Bali, 80614, Indonesia",-8.5282283,115.351467
Bali,Kabupaten Gianyar,Tegal Tugu,"Tegal Tugu, Bali, Indonesia","Tegal Tugu, Bali, 80716, Indonesia",-8.5538617,115.3409956
Bali,Kabupaten Gianyar,Tulikup,"Tulikup, Bali, Indonesia","Tulikup, Bali, 80716, Indonesia",-8.5594,115.3618753
Bali,Kabupaten Gianyar,Bukian,"Bukian, Bali, Indonesia","Bukian, Bali, 80572, Indonesia",-8.4063809,115.2660485
Bali,Kabupaten Gianyar,Kelusa,"Kelusa, Bali, Indonesia","Kelusa, Bali, 80561, Indonesia",-8.4417379,115.2622154
Bali,Kabupaten Gianyar,Kerta,"Kerta, Bali, Indonesia","Kerta, Bali, 80572, Indonesia",-8.3366511,115.2870536
Bali,Kabupaten Gianyar,Melinggih,"Melinggih, Bali, Indonesia","Melinggih, Bali, 80561, Indonesia",-8.430653,115.2434553
Bali,Kabupaten Gianyar,Melinggih Kelod,"Melinggih Kelod, Bali, Indonesia","Melinggih Kelod, Bali, 80561, Indonesia",-8.4481436,115.2414915
Bali,Kabupaten Gianyar,Puhu,"Puhu, Bali, Indonesia","Puhu, Bali, 80572, Indonesia",-8.3864735,115.2705743
Bali,Kabupaten Gianyar,Batuan,"Batuan, Bali, Indonesia","Batuan, Bali, 80582, Indonesia",-8.5835837,115.2765404
Bali,Kabupaten Gianyar,Batuan Kaler,"Batuan Kaler, Bali, Indonesia","Batuan Kaler, Bali, 80582, Indonesia",-8.5690248,115.2756718
Bali,Kabupaten Gianyar,Batubulan,"Batubulan, Bali, Indonesia","Batubulan, Bali, 80513, Indonesia",-8.6217995,115.2596751
Bali,Kabupaten Gianyar,Batubulan Kangin,"Batubulan Kangin, Bali, Indonesia","Batubulan Kangin, Bali, 80513, Indonesia",-8.6173059,115.272964
Bali,Kabupaten Gianyar,Celuk,"Celuk, Bali, Indonesia","Celuk, Bali, 80511, Indonesia",-8.6003298,115.270064
